Haemophilus,Haemophilus_influenzae,Gram-negative_bacteria,Facultative_anaerobic_organism,Epiglottitis,Cellulitis,Meningitis,Pathogenic_bacteria,Hib_vaccine,Osteomyelitis
148,1108,1954,544,301,3044,6002,624,481,1346
151,1318,2152,604,367,3425,6936,703,620,1478
167,1208,2181,665,355,2851,6268,697,527,1469
149,1154,2133,548,281,2917,6327,639,483,1400
122,987,1821,482,278,2818,5537,638,424,1230
109,815,1259,356,230,2280,4826,405,304,1017
121,824,1549,524,310,2135,5248,499,317,1101
174,1275,2340,642,363,3347,7064,719,542,1644
226,1531,2612,793,363,3683,7272,946,529,1489
214,1592,2549,715,319,3568,7114,893,602,1547
177,1494,2647,660,328,3518,6989,849,539,1535
194,1239,2060,535,281,3402,7190,832,513,1455
118,803,1332,404,298,2496,5866,508,521,1066
118,963,1784,508,311,2561,6576,576,320,1170
182,1568,2677,746,394,3623,9220,970,598,1833
220,1511,2609,789,355,3439,8945,863,587,1559
186,1405,2452,688,404,3430,8256,896,586,1625
169,1398,2369,702,369,3507,8000,717,542,1627
159,1175,2019,524,374,3175,7309,702,548,1475
85,842,1374,384,225,2385,5525,461,323,1049
122,958,1651,474,301,2663,6148,585,363,1215
0,0,0,0,0,0,0,0,0,0
198,1390,2577,755,405,3494,8030,843,496,1650
172,1306,2449,794,418,3543,8182,851,518,1668
177,1410,2366,756,380,3726,8308,861,552,1731
160,1190,1859,535,334,3144,7223,633,471,1325
114,784,1302,369,298,2598,5483,423,293,1068
134,917,1532,455,300,2588,6080,434,328,1215
168,1395,2225,782,423,3808,8817,793,600,1688
186,1428,2322,654,360,3801,8643,846,687,2667
172,1333,2356,662,397,4150,8911,1010,622,1760
166,1253,2183,597,379,4333,9866,1371,609,1686
150,1174,1946,446,340,4272,8929,618,499,1406
87,766,1258,309,313,3025,7198,412,325,1061
115,846,1441,404,352,3205,6923,429,353,1052
176,1305,2253,590,408,5449,9868,737,659,1550
208,1293,2275,579,407,4558,9213,747,689,1772
159,1165,2165,564,385,3866,7987,696,637,1666
167,1172,2040,489,376,4185,7437,712,597,1476
150,994,1715,385,375,4001,7442,543,592,1353
116,727,1215,294,274,2885,5381,452,355,955
119,778,1501,364,321,2875,5661,566,339,1081
144,1105,1963,488,391,4145,8014,730,595,1523
190,1155,1990,501,402,4116,7711,684,648,1589
171,1183,2052,471,356,4160,8114,735,625,1660
163,1113,1958,496,408,4098,7613,679,602,1557
149,1003,1658,363,301,3578,6742,754,563,1331
108,735,1129,263,298,2834,5234,404,329,8878
