"Malaria","Malaria_vaccine","Protozoa","Plasmodium","Fever","Jaundice","Epileptic_seizure","Anopheles","Plasmodium_falciparum","Sepsis"
"5920.0","119.0","1267.0","510.0","3835.0","4561.0","1575.0","381.0","456.0","4257.0"
"5342.0","149.0","1293.0","450.0","3696.0","4164.0","1646.0","350.0","472.0","4137.0"
"4429.0","149.0","1060.0","380.0","3314.0","3871.0","1488.0","284.0","452.0","4317.0"
"3713.0","102.0","848.0","254.0","2791.0","3154.0","1203.0","209.0","300.0","2975.0"
"4028.0","121.0","1058.0","333.0","2994.0","3238.0","1248.0","240.0","336.0","2911.0"
"5252.0","185.0","1440.0","437.0","3820.0","4091.0","1598.0","325.0","495.0","3910.0"
"5609.0","158.0","1416.0","482.0","3982.0","4545.0","1643.0","342.0","439.0","4217.0"
"5173.0","144.0","1185.0","457.0","3477.0","3984.0","1482.0","291.0","470.0","3788.0"
"5114.0","150.0","1207.0","423.0","3453.0","3826.0","1517.0","322.0","422.0","3867.0"
"6223.0","129.0","1122.0","382.0","3048.0","3615.0","1333.0","316.0","500.0","3516.0"
"3751.0","108.0","900.0","291.0","2626.0","3061.0","1196.0","228.0","340.0","2826.0"
"3971.0","102.0","1392.0","347.0","3003.0","3231.0","1301.0","263.0","496.0","3007.0"
"5592.0","161.0","1440.0","450.0","4012.0","4336.0","1687.0","333.0","492.0","4084.0"
"5193.0","143.0","1320.0","438.0","3734.0","4256.0","1659.0","363.0","500.0","4088.0"
"5284.0","167.0","1484.0","464.0","3828.0","4076.0","1569.0","395.0","455.0","4176.0"
"5042.0","136.0","1251.0","411.0","3545.0","3842.0","1435.0","400.0","395.0","3868.0"
"4417.0","142.0","1049.0","353.0","3163.0","3798.0","1430.0","312.0","355.0","4004.0"
"3796.0","118.0","906.0","282.0","2653.0","3030.0","1296.0","253.0","295.0","3026.0"
"4022.0","118.0","1000.0","313.0","2788.0","3491.0","1670.0","257.0","305.0","2794.0"
"5095.0","204.0","1228.0","415.0","3632.0","4157.0","1663.0","339.0","411.0","4397.0"
"5646.0","185.0","1303.0","452.0","3952.0","4399.0","1880.0","358.0","514.0","8572.0"
"5277.0","148.0","1310.0","444.0","3899.0","4243.0","1706.0","302.0","422.0","5297.0"
"5760.0","190.0","1269.0","507.0","3884.0","4488.0","1732.0","371.0","478.0","4593.0"
"4426.0","165.0","1026.0","330.0","3410.0","3810.0","1569.0","263.0","392.0","3889.0"
"3755.0","82.0","857.0","307.0","2825.0","3258.0","1383.0","201.0","318.0","3021.0"
"4227.0","124.0","1004.0","327.0","3119.0","3145.0","1388.0","322.0","352.0","3287.0"
"4964.0","135.0","1181.0","386.0","3499.0","4294.0","1552.0","351.0","424.0","3981.0"
"5433.0","152.0","1333.0","416.0","3856.0","4296.0","1717.0","375.0","483.0","4259.0"
"5539.0","166.0","1290.0","499.0","3893.0","4405.0","1865.0","353.0","521.0","4459.0"
"5203.0","154.0","1366.0","516.0","3880.0","4385.0","1861.0","352.0","497.0","4303.0"
"5016.0","142.0","1130.0","446.0","3754.0","3855.0","1597.0","338.0","465.0","4150.0"
"3802.0","101.0","924.0","295.0","2841.0","3297.0","1284.0","321.0","309.0","3136.0"
"4099.0","116.0","1076.0","341.0","3022.0","3292.0","1495.0","312.0","364.0","3149.0"
"5065.0","169.0","1171.0","508.0","3579.0","4112.0","1670.0","397.0","506.0","3890.0"
"5295.0","154.0","1248.0","461.0","3680.0","3927.0","1738.0","417.0","516.0","3953.0"
"5137.0","159.0","1278.0","455.0","3425.0","4038.0","1546.0","473.0","515.0","4202.0"
"5181.0","146.0","1182.0","435.0","3183.0","3781.0","1415.0","394.0","495.0","3810.0"
"4270.0","120.0","959.0","365.0","2988.0","3186.0","1470.0","287.0","409.0","3369.0"
"3853.0","121.0","899.0","342.0","2736.0","3296.0","1190.0","272.0","315.0","6431.0"
"3971.0","131.0","1007.0","334.0","2995.0","3116.0","1276.0","316.0","342.0","4999.0"
"4896.0","133.0","1311.0","409.0","3274.0","3889.0","1373.0","373.0","454.0","4263.0"
"5247.0","145.0","1492.0","391.0","3606.0","4054.0","1460.0","340.0","440.0","3889.0"
"4940.0","153.0","1685.0","462.0","3374.0","3796.0","1376.0","315.0","486.0","3657.0"
"4882.0","148.0","1841.0","427.0","2948.0","3411.0","1359.0","404.0","409.0","3380.0"
"4646.0","120.0","1444.0","412.0","3077.0","3615.0","1435.0","380.0","443.0","3789.0"
"3934.0","128.0","1038.0","320.0","2793.0","3165.0","1194.0","262.0","327.0","2972.0"
"4208.0","119.0","1230.0","360.0","3048.0","3051.0","1286.0","304.0","377.0","3057.0"
"5102.0","159.0","1353.0","461.0","3419.0","3706.0","1422.0","410.0","437.0","3945.0"
"5387.0","145.0","1603.0","415.0","3388.0","3965.0","1451.0","556.0","471.0","4035.0"
"4768.0","132.0","1687.0","440.0","3279.0","3451.0","1499.0","320.0","443.0","3579.0"
"5194.0","154.0","1570.0","476.0","3302.0","4184.0","1482.0","379.0","534.0","3560.0"
"4272.0","117.0","1293.0","426.0","3087.0","3631.0","1299.0","355.0","358.0","3790.0"
"3858.0","101.0","979.0","340.0","3259.0","13006.0","1179.0","314.0","345.0","2794.0"
"3915.0","119.0","1175.0","345.0","2934.0","4348.0","1254.0","314.0","361.0","2859.0"
"4463.0","119.0","1400.0","452.0","3080.0","3320.0","1344.0","374.0","441.0","3278.0"
"4626.0","139.0","1504.0","413.0","3091.0","3693.0","1384.0","354.0","516.0","3647.0"
"4529.0","132.0","1594.0","529.0","3149.0","3584.0","1357.0","376.0","474.0","3656.0"
"4542.0","153.0","1681.0","541.0","3136.0","3507.0","1378.0","329.0","486.0","3482.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3521.0","97.0","1031.0","326.0","2540.0","2886.0","1138.0","327.0","301.0","2811.0"
"3607.0","111.0","1268.0","413.0","2819.0","3132.0","1044.0","272.0","362.0","2886.0"
"4304.0","104.0","1248.0","443.0","3003.0","3406.0","1188.0","312.0","434.0","3331.0"
"4972.0","155.0","1772.0","637.0","3401.0","3226.0","1303.0","343.0","546.0","3593.0"
"4771.0","122.0","1795.0","623.0","3201.0","3142.0","1280.0","363.0","506.0","3532.0"
"4781.0","149.0","1834.0","649.0","3626.0","3110.0","1353.0","349.0","517.0","3830.0"
"4403.0","228.0","1491.0","468.0","3415.0","3088.0","1383.0","333.0","482.0","3663.0"
"3796.0","99.0","1130.0","404.0","3019.0","2866.0","1328.0","329.0","349.0","3035.0"
"3985.0","119.0","1436.0","474.0","2965.0","2759.0","1849.0","316.0","371.0","2991.0"
"4950.0","137.0","1746.0","661.0","3591.0","3319.0","1472.0","374.0","536.0","3641.0"
"4934.0","147.0","1853.0","700.0","3337.0","3325.0","1626.0","367.0","499.0","3727.0"
"5140.0","131.0","1954.0","694.0","3517.0","3361.0","1561.0","416.0","492.0","3785.0"
"5229.0","160.0","1930.0","810.0","3504.0","3480.0","1500.0","395.0","611.0","4274.0"
"4531.0","160.0","1645.0","615.0","3274.0","3115.0","1359.0","328.0","524.0","3545.0"
"4493.0","132.0","2161.0","515.0","3072.0","3196.0","1253.0","317.0","411.0","3075.0"
"4158.0","115.0","1856.0","523.0","3032.0","3524.0","1199.0","284.0","402.0","3079.0"
"5308.0","175.0","2082.0","712.0","3734.0","3815.0","1499.0","325.0","589.0","3867.0"
"5419.0","162.0","2012.0","691.0","4165.0","3500.0","1471.0","398.0","564.0","4010.0"
"5016.0","193.0","2024.0","708.0","4537.0","3354.0","1474.0","336.0","572.0","3494.0"
"5567.0","155.0","2078.0","773.0","3928.0","3354.0","1506.0","401.0","1136.0","3793.0"
