"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"2074.0","4265.0","5626.0","330.0","86.0","3615.0","2873.0","8.0","1003.0","278.0"
"1533.0","3364.0","4082.0","262.0","77.0","3061.0","2486.0","6.0","578.0","204.0"
"1570.0","3453.0","4204.0","297.0","60.0","3231.0","2469.0","8.0","634.0","206.0"
"2432.0","4945.0","6003.0","393.0","110.0","4336.0","3455.0","4.0","938.0","356.0"
"2377.0","4951.0","5924.0","374.0","120.0","4256.0","3377.0","17.0","891.0","313.0"
"2422.0","5435.0","6299.0","414.0","138.0","4076.0","3763.0","12.0","965.0","353.0"
"2299.0","4888.0","6607.0","377.0","110.0","3842.0","3288.0","6.0","866.0","271.0"
"2093.0","4518.0","6106.0","315.0","119.0","3798.0","3143.0","11.0","779.0","256.0"
"1641.0","3422.0","4653.0","309.0","101.0","3030.0","2556.0","13.0","583.0","180.0"
"1523.0","3113.0","4251.0","287.0","79.0","3491.0","2437.0","3.0","563.0","180.0"
"2707.0","6060.0","9879.0","376.0","534.0","4157.0","3721.0","6.0","859.0","1600.0"
"2677.0","5516.0","7374.0","410.0","357.0","4399.0","4098.0","4.0","1021.0","395.0"
"2952.0","6094.0","7386.0","446.0","640.0","4243.0","4468.0","4.0","927.0","369.0"
"3347.0","7746.0","9538.0","443.0","6592.0","4488.0","6062.0","14.0","883.0","424.0"
"2401.0","5259.0","6699.0","386.0","535.0","3810.0","3928.0","9.0","837.0","282.0"
"1655.0","3642.0","4779.0","315.0","155.0","3258.0","2874.0","6.0","555.0","185.0"
"1580.0","3391.0","4579.0","309.0","116.0","3145.0","2612.0","12.0","567.0","177.0"
"2313.0","4498.0","5924.0","358.0","109.0","4294.0","3456.0","8.0","773.0","311.0"
"2801.0","4972.0","6715.0","404.0","76.0","4296.0","3538.0","7.0","894.0","349.0"
"2627.0","5108.0","6294.0","361.0","63.0","4405.0","3495.0","5.0","836.0","327.0"
"2541.0","4967.0","6331.0","371.0","73.0","4385.0","3559.0","9.0","855.0","292.0"
"2342.0","4373.0","5658.0","385.0","50.0","3855.0","3222.0","23.0","813.0","336.0"
"1955.0","3544.0","4581.0","267.0","48.0","3297.0","2576.0","9.0","550.0","221.0"
"1724.0","3191.0","4431.0","275.0","35.0","3292.0","2567.0","7.0","579.0","220.0"
"2222.0","4327.0","5926.0","368.0","63.0","4112.0","3379.0","8.0","857.0","333.0"
"4207.0","4799.0","6235.0","364.0","60.0","3927.0","3366.0","7.0","950.0","280.0"
"3887.0","4951.0","6666.0","349.0","43.0","4038.0","3581.0","10.0","933.0","342.0"
"3111.0","4776.0","6069.0","283.0","44.0","3781.0","3440.0","13.0","925.0","287.0"
"2390.0","3959.0","5230.0","282.0","49.0","3186.0","2868.0","13.0","758.0","237.0"
"1760.0","3155.0","4275.0","219.0","39.0","3296.0","2452.0","6.0","596.0","208.0"
"1604.0","3034.0","4152.0","242.0","44.0","3116.0","2394.0","7.0","550.0","217.0"
"2120.0","3928.0","5215.0","280.0","44.0","3889.0","2833.0","12.0","694.0","344.0"
"2297.0","4462.0","5780.0","309.0","74.0","4054.0","3263.0","13.0","890.0","307.0"
"2238.0","4431.0","5549.0","322.0","36.0","3796.0","3175.0","9.0","824.0","278.0"
"2032.0","3927.0","5052.0","273.0","31.0","3411.0","2710.0","6.0","775.0","257.0"
"2138.0","4045.0","5147.0","270.0","47.0","3615.0","2926.0","21.0","806.0","225.0"
"1664.0","3111.0","4005.0","230.0","27.0","3165.0","2299.0","6.0","526.0","191.0"
"1439.0","2844.0","3909.0","220.0","28.0","3051.0","2199.0","8.0","525.0","162.0"
"2131.0","4045.0","5229.0","290.0","41.0","3706.0","2880.0","5.0","819.0","280.0"
"2262.0","4210.0","5426.0","312.0","44.0","3965.0","2973.0","6.0","870.0","319.0"
"2051.0","4121.0","4999.0","306.0","47.0","3451.0","3017.0","6.0","1092.0","257.0"
"2159.0","3992.0","5171.0","288.0","40.0","4184.0","2827.0","5.0","794.0","280.0"
"1963.0","3966.0","4873.0","297.0","38.0","3631.0","2873.0","15.0","751.0","305.0"
"1506.0","3053.0","3906.0","198.0","41.0","13006.0","2332.0","6.0","533.0","202.0"
"1330.0","2760.0","3508.0","230.0","30.0","4348.0","2037.0","10.0","507.0","181.0"
