"Measles","Sneeze","Measles_virus","Measles_vaccine","MMR_vaccine","MMRV_vaccine","Fever","Rhinitis","Conjunctivitis","Airborne_disease"
"3663.0","873.0","33.0","41.0","1062.0","56.0","4852.0","938.0","4681.0","86.0"
"3759.0","1008.0","40.0","52.0","1373.0","77.0","5857.0","1313.0","5655.0","101.0"
"3840.0","944.0","53.0","67.0","1459.0","88.0","5607.0","1353.0","5494.0","101.0"
"4002.0","1004.0","39.0","47.0","1502.0","78.0","5388.0","1254.0","5388.0","106.0"
"5798.0","1011.0","56.0","66.0","1766.0","56.0","5197.0","1253.0","5256.0","100.0"
"5277.0","952.0","40.0","70.0","1528.0","61.0","4593.0","1084.0","4697.0","81.0"
"4700.0","820.0","30.0","48.0","1131.0","60.0","3837.0","882.0","3861.0","80.0"
"9659.0","874.0","48.0","80.0","1670.0","53.0","4456.0","935.0","4465.0","73.0"
"9113.0","1026.0","52.0","94.0","2259.0","95.0","5489.0","1345.0","5748.0","98.0"
"6730.0","963.0","48.0","62.0","1925.0","84.0","5171.0","1335.0","5459.0","111.0"
"6574.0","952.0","53.0","88.0","2056.0","87.0","5344.0","1402.0","5211.0","93.0"
"5212.0","1007.0","39.0","56.0","1796.0","80.0","4747.0","1316.0","4977.0","112.0"
"5289.0","893.0","59.0","49.0","1633.0","69.0","4399.0","1134.0","5075.0","82.0"
"3269.0","736.0","39.0","53.0","983.0","47.0","3671.0","835.0","3998.0","72.0"
"3725.0","828.0","36.0","29.0","1053.0","46.0","4090.0","1031.0","4394.0","68.0"
"4852.0","1028.0","46.0","48.0","1822.0","71.0","5420.0","1352.0","5486.0","103.0"
"4119.0","996.0","37.0","65.0","1562.0","77.0","5076.0","1372.0","5147.0","119.0"
"4162.0","1014.0","46.0","57.0","1692.0","71.0","4927.0","1391.0","5099.0","123.0"
"4115.0","1114.0","89.0","55.0","1809.0","70.0","4973.0","1324.0","5176.0","151.0"
"4154.0","951.0","33.0","49.0","1345.0","61.0","4195.0","1039.0","4325.0","81.0"
"3068.0","731.0","25.0","31.0","870.0","33.0","3658.0","803.0","3577.0","95.0"
"3681.0","949.0","30.0","60.0","1044.0","43.0","4112.0","1019.0","4204.0","114.0"
"4320.0","889.0","62.0","29.0","1510.0","65.0","4807.0","1237.0","5293.0","115.0"
"3889.0","1002.0","33.0","60.0","1598.0","79.0","4913.0","1259.0","5172.0","130.0"
"4030.0","900.0","29.0","37.0","1509.0","52.0","4768.0","1308.0","4657.0","94.0"
"3780.0","902.0","45.0","43.0","1517.0","75.0","4403.0","1273.0","4442.0","77.0"
"3595.0","864.0","38.0","47.0","1261.0","51.0","3909.0","1130.0","4254.0","63.0"
"2772.0","714.0","40.0","40.0","894.0","38.0","3295.0","847.0","3745.0","108.0"
"3064.0","788.0","37.0","46.0","888.0","28.0","3672.0","954.0","4053.0","93.0"
"4153.0","843.0","45.0","44.0","1661.0","60.0","4881.0","1358.0","5364.0","81.0"
"4529.0","944.0","44.0","47.0","1727.0","64.0","4537.0","1323.0","5177.0","104.0"
"4418.0","1051.0","37.0","57.0","1668.0","54.0","4718.0","1303.0","5016.0","82.0"
"4604.0","960.0","34.0","49.0","1559.0","83.0","4575.0","1305.0","4837.0","97.0"
"3412.0","877.0","37.0","48.0","1289.0","63.0","3736.0","1243.0","4386.0","104.0"
"2813.0","705.0","17.0","28.0","801.0","35.0","3189.0","917.0","3621.0","70.0"
"3203.0","754.0","30.0","35.0","969.0","43.0","3375.0","1033.0","3995.0","82.0"
"4466.0","975.0","52.0","55.0","1604.0","70.0","4601.0","1366.0","6138.0","130.0"
"4691.0","935.0","37.0","48.0","1747.0","69.0","4508.0","1345.0","5487.0","117.0"
"4314.0","925.0","51.0","56.0","1685.0","58.0","4592.0","1495.0","5442.0","93.0"
"4128.0","990.0","62.0","54.0","1477.0","85.0","4244.0","1309.0","4970.0","107.0"
"3691.0","852.0","43.0","46.0","1275.0","69.0","3509.0","1337.0","4903.0","68.0"
"2696.0","682.0","37.0","30.0","844.0","48.0","2952.0","925.0","4136.0","56.0"
"3470.0","821.0","52.0","34.0","1033.0","40.0","3688.0","918.0","4898.0","78.0"
"4082.0","930.0","35.0","43.0","1687.0","72.0","4482.0","1429.0","6184.0","112.0"
"4268.0","945.0","42.0","54.0","1773.0","59.0","4343.0","1534.0","6178.0","125.0"
"4874.0","1027.0","47.0","77.0","1843.0","72.0","4245.0","1395.0","5166.0","96.0"
"4351.0","1014.0","39.0","64.0","1658.0","63.0","4027.0","1385.0","5219.0","82.0"
"4849.0","932.0","62.0","57.0","1620.0","65.0","3608.0","1272.0","4839.0","99.0"
"3556.0","693.0","38.0","27.0","894.0","50.0","2961.0","928.0","3771.0","71.0"
"3799.0","746.0","35.0","33.0","1005.0","46.0","3400.0","1007.0","4706.0","102.0"
"5253.0","973.0","48.0","66.0","1715.0","85.0","4469.0","1444.0","5793.0","111.0"
"5076.0","980.0","49.0","76.0","1697.0","63.0","4566.0","1489.0","6379.0","109.0"
"4781.0","1052.0","45.0","50.0","1696.0","80.0","4572.0","1393.0","5740.0","140.0"
"4617.0","1080.0","43.0","61.0","1589.0","64.0","4310.0","1420.0","5564.0","114.0"
"3633.0","883.0","42.0","59.0","1415.0","65.0","3491.0","1199.0","4733.0","99.0"
