"Listeriosis","Listeria_monocytogenes","Central_nervous_system","Meningitis","Meningoencephalitis","Brain_abscess","Immunodeficiency","Gastroenteritis","Gentamicin","Listeria"
"297.0","542.0","2353.0","7115.0","150.0","262.0","499.0","6189.0","1002.0","781.0"
"353.0","611.0","2610.0","7134.0","179.0","299.0","522.0","6251.0","1025.0","802.0"
"307.0","540.0","2406.0","6993.0","207.0","297.0","493.0","5940.0","1061.0","705.0"
"304.0","624.0","2667.0","6988.0","176.0","324.0","524.0","5968.0","1033.0","764.0"
"229.0","433.0","2085.0","6244.0","163.0","269.0","479.0","5182.0","888.0","651.0"
"199.0","331.0","1593.0","5106.0","136.0","236.0","344.0","4080.0","609.0","488.0"
"239.0","686.0","1926.0","5584.0","135.0","250.0","387.0","5023.0","755.0","890.0"
"376.0","801.0","2722.0","6911.0","217.0","288.0","602.0","6766.0","1057.0","1123.0"
"333.0","745.0","2854.0","6692.0","204.0","276.0","607.0","6500.0","985.0","919.0"
"446.0","844.0","2896.0","8086.0","184.0","318.0","598.0","6712.0","1160.0","1502.0"
"401.0","890.0","2630.0","6211.0","179.0","319.0","566.0","6580.0","1045.0","1106.0"
"304.0","517.0","2354.0","5661.0","138.0","253.0","471.0","5363.0","922.0","737.0"
"232.0","369.0","1547.0","4336.0","150.0","229.0","386.0","4731.0","666.0","568.0"
"235.0","415.0","1954.0","4938.0","175.0","234.0","420.0","4920.0","783.0","603.0"
"359.0","650.0","2747.0","6679.0","208.0","386.0","578.0","6960.0","1098.0","908.0"
"355.0","623.0","2769.0","6561.0","217.0","330.0","588.0","6558.0","985.0","770.0"
"324.0","614.0","2824.0","6577.0","210.0","349.0","532.0","6522.0","1136.0","817.0"
"342.0","628.0","2673.0","6635.0","209.0","307.0","558.0","6252.0","1022.0","785.0"
"263.0","516.0","2025.0","5275.0","159.0","207.0","470.0","4990.0","837.0","661.0"
"172.0","349.0","1635.0","4207.0","104.0","219.0","313.0","3860.0","664.0","417.0"
"207.0","378.0","2034.0","5205.0","284.0","262.0","381.0","4592.0","747.0","620.0"
"324.0","543.0","2636.0","6134.0","288.0","285.0","511.0","6091.0","992.0","844.0"
"282.0","661.0","3063.0","6359.0","285.0","281.0","626.0","6048.0","1054.0","905.0"
"300.0","643.0","2855.0","6605.0","258.0","283.0","617.0","5768.0","1059.0","736.0"
"266.0","553.0","2478.0","6153.0","214.0","284.0","469.0","5452.0","986.0","782.0"
"240.0","450.0","1895.0","5163.0","155.0","217.0","386.0","5026.0","829.0","687.0"
"196.0","374.0","1391.0","4327.0","118.0","217.0","321.0","3819.0","618.0","484.0"
"232.0","385.0","1595.0","4230.0","117.0","168.0","326.0","4029.0","678.0","567.0"
"325.0","646.0","2428.0","6158.0","186.0","263.0","554.0","5931.0","1080.0","778.0"
"347.0","710.0","2395.0","5866.0","237.0","296.0","559.0","6040.0","1010.0","790.0"
"327.0","679.0","2580.0","6436.0","164.0","314.0","476.0","5938.0","1071.0","870.0"
"476.0","785.0","2382.0","6186.0","226.0","311.0","494.0","5702.0","1116.0","936.0"
"405.0","793.0","1897.0","5358.0","152.0","277.0","443.0","4832.0","915.0","804.0"
"249.0","526.0","1332.0","4226.0","120.0","232.0","341.0","3966.0","665.0","571.0"
"231.0","511.0","1656.0","4554.0","138.0","221.0","355.0","4277.0","722.0","567.0"
"369.0","786.0","2502.0","6457.0","225.0","322.0","570.0","6307.0","1086.0","1026.0"
"306.0","863.0","2420.0","6518.0","219.0","275.0","532.0","6227.0","1061.0","940.0"
"317.0","827.0","2299.0","6373.0","234.0","325.0","554.0","6078.0","1097.0","1181.0"
"334.0","760.0","2387.0","6202.0","266.0","342.0","571.0","5652.0","1039.0","1128.0"
"269.0","641.0","1842.0","5094.0","213.0","290.0","401.0","4542.0","921.0","741.0"
"161.0","469.0","1296.0","4870.0","148.0","219.0","332.0","3743.0","642.0","478.0"
"214.0","551.0","1644.0","4863.0","140.0","209.0","371.0","4378.0","691.0","557.0"
"296.0","791.0","2311.0","6373.0","209.0","332.0","559.0","5971.0","998.0","787.0"
"287.0","823.0","2330.0","6347.0","176.0","269.0","633.0","5953.0","1155.0","849.0"
"244.0","683.0","2384.0","6658.0","182.0","340.0","539.0","5813.0","1035.0","823.0"
"254.0","735.0","2198.0","7071.0","194.0","277.0","561.0","5261.0","1066.0","852.0"
"238.0","600.0","1912.0","6111.0","153.0","278.0","404.0","4749.0","969.0","748.0"
"196.0","346.0","1363.0","4335.0","108.0","216.0","295.0","3512.0","627.0","451.0"
"232.0","505.0","1568.0","4702.0","148.0","222.0","364.0","4143.0","773.0","558.0"
"320.0","776.0","2646.0","6577.0","190.0","318.0","533.0","6120.0","1138.0","928.0"
"331.0","754.0","2498.0","6446.0","238.0","327.0","568.0","6158.0","1168.0","779.0"
"340.0","696.0","2408.0","7137.0","236.0","287.0","545.0","5798.0","1051.0","826.0"
"337.0","676.0","2363.0","6677.0","222.0","370.0","547.0","5760.0","1147.0","851.0"
"226.0","507.0","1812.0","5608.0","166.0","268.0","421.0","4634.0","858.0","585.0"
"201.0","393.0","1358.0","5401.0","103.0","207.0","318.0","4033.0","672.0","531.0"
"258.0","426.0","1597.0","5931.0","162.0","199.0","382.0","4225.0","756.0","825.0"
"317.0","686.0","2263.0","7047.0","189.0","289.0","596.0","5921.0","1104.0","775.0"
"294.0","705.0","2111.0","6306.0","197.0","269.0","587.0","5728.0","955.0","830.0"
"279.0","672.0","2165.0","6277.0","244.0","288.0","597.0","5651.0","1074.0","907.0"
"278.0","610.0","1948.0","5840.0","181.0","280.0","516.0","5476.0","982.0","716.0"
"221.0","473.0","1438.0","5037.0","108.0","265.0","406.0","4321.0","763.0","622.0"
"182.0","347.0","1327.0","4148.0","164.0","232.0","349.0","3870.0","685.0","474.0"
"198.0","380.0","1285.0","4569.0","157.0","207.0","293.0","3828.0","691.0","976.0"
"289.0","611.0","2145.0","6062.0","194.0","248.0","491.0","5285.0","940.0","821.0"
"349.0","708.0","2412.0","6650.0","185.0","307.0","580.0","5859.0","1081.0","786.0"
"298.0","705.0","2308.0","6457.0","167.0","299.0","567.0","6294.0","1125.0","757.0"
"298.0","764.0","2354.0","6559.0","198.0","246.0","624.0","5545.0","1105.0","808.0"
"261.0","511.0","1759.0","5264.0","135.0","241.0","442.0","4033.0","890.0","717.0"
"263.0","457.0","1363.0","4242.0","128.0","207.0","334.0","3651.0","661.0","573.0"
"275.0","529.0","1669.0","4770.0","126.0","211.0","372.0","3867.0","817.0","548.0"
"317.0","779.0","2322.0","5972.0","171.0","263.0","513.0","4821.0","1004.0","800.0"
"291.0","825.0","2368.0","6161.0","209.0","289.0","508.0","5441.0","1127.0","803.0"
"601.0","975.0","2611.0","6434.0","219.0","337.0","562.0","5436.0","1117.0","1547.0"
"446.0","855.0","2511.0","6130.0","227.0","342.0","488.0","5254.0","1029.0","1655.0"
"384.0","683.0","2134.0","5375.0","171.0","280.0","501.0","4488.0","906.0","1440.0"
"295.0","472.0","1362.0","4378.0","132.0","264.0","382.0","3575.0","646.0","767.0"
"297.0","511.0","1539.0","4631.0","149.0","226.0","386.0","3876.0","718.0","980.0"
"336.0","740.0","2761.0","7586.0","197.0","286.0","566.0","5459.0","1059.0","1052.0"
"270.0","617.0","2542.0","6747.0","236.0","291.0","599.0","5414.0","1004.0","1099.0"
"399.0","828.0","2485.0","6488.0","204.0","298.0","569.0","5495.0","1077.0","2281.0"
"310.0","706.0","2369.0","6181.0","172.0","299.0","562.0","5127.0","1047.0","1024.0"
"253.0","523.0","2005.0","5570.0","126.0","225.0","455.0","4491.0","955.0","814.0"
"267.0","399.0","1326.0","4278.0","129.0","199.0","324.0","3522.0","656.0","760.0"
"254.0","503.0","1763.0","4925.0","120.0","239.0","407.0","3922.0","795.0","863.0"
"310.0","652.0","2478.0","6335.0","173.0","335.0","556.0","5666.0","1120.0","927.0"
"267.0","733.0","2492.0","6654.0","164.0","298.0","643.0","5578.0","1051.0","811.0"
"349.0","581.0","2436.0","6681.0","205.0","296.0","966.0","5697.0","1127.0","871.0"
"366.0","610.0","2460.0","6511.0","212.0","313.0","614.0","5389.0","1120.0","805.0"
"314.0","526.0","2078.0","5617.0","173.0","249.0","536.0","4622.0","933.0","763.0"
"189.0","291.0","1443.0","4047.0","155.0","194.0","358.0","3416.0","684.0","490.0"
"214.0","398.0","1910.0","4862.0","189.0","231.0","358.0","4011.0","759.0","557.0"
"337.0","535.0","2500.0","6914.0","257.0","283.0","537.0","5673.0","938.0","1117.0"
"285.0","511.0","2438.0","6323.0","190.0","325.0","570.0","5429.0","1023.0","801.0"
"279.0","526.0","5011.0","6071.0","179.0","325.0","486.0","5110.0","953.0","927.0"
"223.0","464.0","3436.0","6015.0","178.0","269.0","495.0","5021.0","1001.0","685.0"
"208.0","366.0","2079.0","5037.0","138.0","210.0","428.0","4208.0","875.0","638.0"
"177.0","362.0","1170.0","3814.0","127.0","200.0","302.0","3166.0","628.0","505.0"
"206.0","380.0","1281.0","4163.0","124.0","220.0","307.0","3508.0","696.0","496.0"
"261.0","416.0","1879.0","5353.0","130.0","202.0","388.0","4255.0","775.0","664.0"
"306.0","572.0","2127.0","5933.0","189.0","280.0","474.0","5232.0","996.0","749.0"
"325.0","540.0","2178.0","5907.0","143.0","283.0","511.0","5134.0","910.0","729.0"
"336.0","546.0","1858.0","5503.0","157.0","250.0","494.0","4869.0","922.0","726.0"
"374.0","600.0","1651.0","5156.0","159.0","216.0","443.0","4445.0","925.0","2666.0"
"195.0","327.0","1249.0","4371.0","93.0","192.0","363.0","3469.0","684.0","900.0"
"178.0","368.0","1410.0","4402.0","105.0","198.0","355.0","3661.0","765.0","602.0"
"266.0","546.0","2048.0","5833.0","153.0","229.0","489.0","4946.0","991.0","755.0"
"274.0","602.0","2081.0","6851.0","166.0","258.0","506.0","4967.0","1071.0","898.0"
"290.0","540.0","1998.0","6155.0","171.0","289.0","480.0","4988.0","951.0","844.0"
"270.0","466.0","1944.0","6189.0","197.0","315.0","459.0","4537.0","954.0","848.0"
"245.0","434.0","1501.0","5917.0","160.0","253.0","399.0","4192.0","868.0","764.0"
"202.0","276.0","1111.0","4592.0","112.0","207.0","307.0","3334.0","664.0","565.0"
"208.0","323.0","1299.0","4410.0","112.0","220.0","346.0","3517.0","718.0","494.0"
"273.0","433.0","1940.0","6014.0","155.0","252.0","631.0","5231.0","964.0","731.0"
"248.0","614.0","1709.0","5603.0","161.0","235.0","618.0","4434.0","869.0","1995.0"
"342.0","666.0","1964.0","6205.0","193.0","318.0","506.0","5162.0","1038.0","1995.0"
"276.0","575.0","1713.0","5679.0","152.0","286.0","615.0","4758.0","979.0","1077.0"
"200.0","480.0","1534.0","5074.0","119.0","303.0","490.0","4135.0","799.0","859.0"
"139.0","276.0","1090.0","4035.0","111.0","201.0","303.0","3331.0","646.0","467.0"
"202.0","341.0","1359.0","4570.0","118.0","225.0","348.0","4005.0","619.0","520.0"
"276.0","528.0","1798.0","5770.0","165.0","275.0","533.0","5328.0","984.0","718.0"
"541.0","608.0","1852.0","5914.0","172.0","334.0","524.0","5163.0","890.0","1469.0"
