"Hepatitis","Hepatitis_A#Virology","Jaundice","Hepatitis_B","Hepatitis_C","Hepatitis_A_vaccine","Viral_hepatitis","World_Hepatitis_Day","Picornavirales","Hepatitis_A"
"3785.0","2662.0","4311.0","5358.0","7123.0","272.0","384.0","65.0","10.0","2662.0"
"5837.0","2947.0","4657.0","5269.0","7971.0","257.0","477.0","79.0","31.0","2947.0"
"3152.0","2420.0","3805.0","4590.0","7508.0","214.0","371.0","39.0","9.0","2420.0"
"2329.0","1526.0","3190.0","3223.0","4341.0","145.0","277.0","37.0","5.0","1526.0"
"2607.0","1577.0","3642.0","3242.0","4597.0","147.0","274.0","34.0","8.0","1577.0"
"3090.0","2084.0","4084.0","4159.0","5416.0","199.0","311.0","52.0","12.0","2084.0"
"3904.0","2594.0","4734.0","5333.0","6307.0","280.0","472.0","58.0","11.0","2594.0"
"3569.0","2670.0","4330.0","5166.0","6048.0","290.0","364.0","51.0","22.0","2670.0"
"3741.0","2464.0","4123.0","4824.0","6284.0","277.0","382.0","70.0","13.0","2464.0"
"3543.0","2465.0","3892.0","4638.0","6687.0","224.0","358.0","61.0","10.0","2465.0"
"2525.0","1734.0","3408.0","3238.0","4980.0","148.0","293.0","27.0","12.0","1734.0"
"2479.0","1641.0","3385.0","3152.0","4465.0","158.0","282.0","36.0","10.0","1641.0"
"3305.0","2448.0","4101.0","4483.0","5756.0","263.0","423.0","70.0","12.0","2448.0"
"3491.0","2509.0","5142.0","4900.0","6062.0","289.0","433.0","58.0","14.0","2509.0"
"3400.0","2696.0","4272.0","4868.0","6195.0","335.0","403.0","51.0","16.0","2696.0"
"3637.0","2474.0","4185.0","4742.0","5912.0","290.0","370.0","45.0","12.0","2474.0"
"3158.0","2173.0","4076.0","4280.0","5414.0","242.0","332.0","73.0","6.0","2173.0"
"2402.0","1569.0","3242.0","3190.0","4154.0","177.0","285.0","30.0","0.0","1569.0"
"2447.0","1500.0","3349.0","3209.0","4006.0","125.0","272.0","35.0","7.0","1500.0"
"3462.0","2303.0","4412.0","4651.0","5767.0","301.0","383.0","51.0","11.0","2303.0"
