Week,water pollution,malaria,malaria vaccine,fever,influenza
Greenwood-Greenville MS,0,0,,60,0
Champaign & Springfield-Decatur IL,0,0,,60,0
Evansville IN,0,0,,60,0
Oklahoma City OK,0,0,,59,0
Lubbock TX,0,0,,59,0
Omaha NE,0,0,,59,0
Panama City FL,0,0,,59,0
Sherman TX-Ada OK,0,0,,59,0
Green Bay-Appleton WI,0,0,,58,0
Nashville TN,0,0,,58,0
San Angelo TX,0,0,,58,0
Abilene-Sweetwater TX,0,0,,58,0
Madison WI,0,0,,58,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,0,,58,0
Tulsa OK,0,0,,58,0
Columbus-Tupelo-West Point MS,0,0,,58,0
Peoria-Bloomington IL,0,0,,58,0
Duluth MN-Superior WI,0,0,,57,0
Wichita-Hutchinson KS,0,0,,56,0
Des Moines-Ames IA,0,0,,56,0
Davenport IA-Rock Island-Moline IL,0,0,,56,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0,0,,56,0
Minot-Bismarck-Dickinson(Williston) ND,0,0,,56,0
Huntsville-Decatur (Florence) AL,0,0,,54,0
Beaumont-Port Arthur TX,0,0,,54,0
Little Rock-Pine Bluff AR,0,0,,52,0
Montgomery (Selma) AL,0,0,,48,0
La Crosse-Eau Claire WI,0,0,,0,0
Wausau-Rhinelander WI,0,0,,0,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0,0,,0,0
Hattiesburg-Laurel MS,0,0,,0,0
Meridian MS,0,0,,0,0
Baton Rouge LA,0,0,,0,0
Quincy IL-Hannibal MO-Keokuk IA,0,0,,0,0
Jackson MS,0,0,,0,0
Lincoln & Hastings-Kearney NE,0,0,,0,0
Fargo-Valley City ND,0,0,,0,0
Sioux Falls(Mitchell) SD,0,0,,0,0
Jonesboro AR,0,0,,0,0
Bowling Green KY,0,0,,0,0
Mankato MN,0,0,,0,0
North Platte NE,0,0,,0,0
Anchorage AK,0,0,,0,0
Honolulu HI,0,0,,0,0
Fairbanks AK,0,0,,0,0
Biloxi-Gulfport MS,0,0,,0,0
Juneau AK,0,0,,0,0
Laredo TX,0,0,,0,0
Denver CO,0,0,,0,0
Colorado Springs-Pueblo CO,0,0,,0,0
Phoenix AZ,0,0,,0,0
Butte-Bozeman MT,0,0,,0,0
Great Falls MT,0,0,,0,0
Billings MT,0,0,,0,0
Boise ID,0,0,,0,0
Idaho Falls-Pocatello ID,0,0,,0,0
Cheyenne WY-Scottsbluff NE,0,0,,0,0
Twin Falls ID,0,0,,0,0
Missoula MT,0,0,,0,0
Rapid City SD,0,0,,0,0
El Paso TX,0,0,,0,0
Helena MT,0,0,,0,0
Casper-Riverton WY,0,0,,0,0
Salt Lake City UT,0,0,,0,0
Yuma AZ-El Centro CA,0,0,,0,0
Grand Junction-Montrose CO,0,0,,0,0
Tucson (Sierra Vista) AZ,0,0,,0,0
Albuquerque-Santa Fe NM,0,0,,0,0
Glendive MT,0,0,,0,0
Bakersfield CA,0,0,,0,0
Eugene OR,0,0,,0,0
Eureka CA,0,0,,0,0
Palm Springs CA,0,0,,0,0
Yakima-Pasco-Richland-Kennewick WA,0,0,,0,0
Reno NV,0,0,,0,0
Medford-Klamath Falls OR,0,0,,0,0
Seattle-Tacoma WA,0,0,,0,0
Portland OR,0,0,,0,0
Bend OR,0,0,,0,0
San Diego CA,0,0,,0,0
Monterey-Salinas CA,0,0,,0,0
Las Vegas NV,0,0,,0,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0,0,,0,0
Sacramento-Stockton-Modesto CA,0,0,,0,0
Fresno-Visalia CA,0,0,,0,0
Chico-Redding CA,0,0,,0,0
Spokane WA,0,0,,0,0
,,,,,
,,,,,
Top cities for water pollution,,,,,
City,water pollution,malaria,,fever,influenza
Honolulu,100,100,,100,100
San Jose,68,99,,96,87
Charlotte,50,83,,95,81
Philadelphia,49,75,,94,63
San Diego,47,60,,89,58
Portland,46,57,,89,56
Washington,43,54,,83,54
Miami,41,50,,83,50
San Antonio,39,47,,83,44
Houston,39,46,,82,42
Phoenix,39,46,,82,42
Austin,36,45,,81,42
Denver,35,44,,81,41
Los Angeles,33,44,,79,39
New York,32,43,,79,38
,,,,,
,,,,,
,,,,,
Top searches for water pollution,,,,,
pollution of water,100,100,,100,100
pollution in water,85,70,,60,60
what is pollution,35,40,,60,55
air pollution,35,40,,60,50
water pollution control,20,35,,55,50
