,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
8/13/11,1.057646047,0.680508365,0.5982720182,3.3270143283,0.8967219786,0.5657501612,1.361313071,1.3983648184,2.1159495547,1.9487815087,0.6354664309,1.8730720387,1.8678463827,0.7735579897,0.9245986564,2.1791473331,2.5450924872,1.1630775916
8/20/11,1.1316797901,0.529812879,0.5982720182,3.1811185457,0.9247726034,0.529812879,1.6413204563,1.2587206502,2.2242552992,1.6773911693,0.5956119106,1.9156648739,1.622552412,0.806989364,0.8879726789,2.0641238072,2.3394463234,1.1453886331
8/27/11,1.0553610549,0.6993453008,0.5483538959,3.0021719386,0.8365343415,0.539726612,1.3844441159,1.0763384092,2.1028158177,2.0606240118,0.617649116,1.6283118157,1.4117112897,0.7370873996,0.8078181357,1.811503596,1.9734278302,1.0753403576
9/3/11,0.9932092707,0.7684140652,0.6553213008,2.886179283,0.8932589384,0.5595540781,1.1592207842,1.2195854963,2.1054806339,1.4934606073,0.6365604766,1.6674377923,1.2781528037,0.7018324958,0.7933086138,1.7864407498,2.0803427164,1.2366636587
9/10/11,1.1715909849,0.8374828297,0.6995344948,2.9577894028,0.9665714976,0.6450600254,1.5220129617,1.3111493326,2.1804761758,1.7993047983,1.7931230275,1.8859489424,1.7637575401,0.7066952412,0.9334734125,2.1866163932,2.4430613674,1.7517661288
9/17/11,1.2682461494,0.8751567012,0.9134693047,2.9149807158,1.1562075739,0.6425815922,1.4526198271,1.508937158,2.5617352375,2.441206558,1.5646237776,2.0910879232,1.1189479954,0.831910934,0.907060448,2.5979126373,2.6521393671,1.9682789803
9/24/11,1.1766941338,0.937946487,0.8706823428,3.0604043438,1.2336411508,0.6686051414,1.4428804398,1.517012666,2.3942325044,1.850190487,6.067871991,2.0752394264,1.1024518684,0.7966560302,0.8788161845,2.3720150634,2.3857761074,2.0928092478
10/1/11,1.2919339005,1.1702686947,0.9263053933,3.4205009462,1.4725216575,0.7070208569,1.6887999695,1.7077188921,2.5613545495,1.8210372279,3.3766759688,2.4368823135,1.1823120246,0.9370678022,0.9685498295,2.6246352746,2.7863769465,2.832207711
10/8/11,1.3413658956,1.1325948232,0.8877971275,3.5215420384,1.481629453,0.6648874915,1.8446301665,1.7873558243,2.8390664671,1.7669711837,2.4484563756,2.6022019461,1.1854050484,0.9188325071,1.0139801286,2.7462979651,2.8765286345,2.7989524692
10/15/11,1.248671384,1.0195732086,1.0076006211,3.7461302603,1.5642922204,0.703303207,2.1648125245,1.7760501132,2.5632579896,2.0203395083,1.4753809105,3.2215810129,1.1570093716,0.9249109388,0.9660846195,2.8930235017,2.9687922215,2.9248978533
10/22/11,1.398795363,1.0823629945,1.0418301907,3.8880914209,1.6360464114,0.6896718241,2.0649838045,1.578510765,2.9152040731,1.6901125915,1.1298187753,2.7365179568,1.3729196162,0.8847932896,0.9961601818,2.7094506018,3.2352874749,2.878199003
10/29/11,1.4269007654,1.2267795019,1.1088630978,4.3863719469,1.8207649709,0.7627856051,1.9809815889,1.8161791758,3.029981514,1.7431185171,1.1366956338,2.8076380863,1.3608482316,0.8629109356,1.0841329626,3.2873898761,4.2224682575,3.1265519797
11/5/11,1.5277450821,1.3084062235,1.1673386125,4.2961904114,1.895635898,0.7677424716,2.2208140016,2.0831678924,3.3219692328,2.1030287523,0.9006943565,3.0473466009,1.3440513941,0.8835776033,1.2159864818,3.3278887799,3.7389753832,3.5829271077
11/12/11,1.6110711262,1.2205005234,1.2172567348,4.2107304222,1.7112636426,0.799962104,2.492299423,2.2944977235,3.4639658679,2.0993183375,0.8678729868,3.0680486999,1.3339131494,0.8635187787,1.202956086,3.3473083362,3.8840364449,3.9013283599
11/19/11,1.3918642204,1.4277068167,1.264322393,3.8323771738,1.7762302751,0.7888091543,2.0978542367,2.0555869268,2.9056868723,1.7675012429,0.7369000925,2.5393032243,1.1504796547,0.9273423115,0.9755932867,2.8387483315,2.9408095599,2.91782227
