"date","Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2013-07-15","1541.0","513.0","2487.0","3592.0","254.0","309.0","69.0","201.0","2188.0","434.0"
"2013-07-16","1604.0","505.0","2363.0","3652.0","264.0","316.0","84.0","225.0","2177.0","401.0"
"2013-07-17","1672.0","544.0","2440.0","3550.0","273.0","303.0","82.0","193.0","2141.0","406.0"
"2013-07-18","1753.0","595.0","2175.0","3507.0","272.0","288.0","63.0","192.0","2046.0","455.0"
"2013-07-19","1702.0","390.0","1949.0","3008.0","196.0","241.0","50.0","154.0","1796.0","395.0"
"2013-07-20","1154.0","359.0","1413.0","2722.0","165.0","212.0","54.0","118.0","1322.0","296.0"
"2013-07-21","1127.0","365.0","1639.0","3141.0","181.0","283.0","39.0","140.0","1369.0","297.0"
"2013-07-22","1604.0","547.0","2207.0","3699.0","223.0","351.0","77.0","178.0","2169.0","442.0"
"2013-07-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2013-07-24","593.0","177.0","695.0","1162.0","120.0","92.0","45.0","64.0","825.0","190.0"
"2013-07-25","1654.0","443.0","1888.0","3019.0","197.0","266.0","69.0","164.0","1673.0","379.0"
"2013-07-26","1404.0","390.0","1663.0","2777.0","231.0","212.0","70.0","150.0","1448.0","387.0"
"2013-07-27","1029.0","340.0","1381.0","2274.0","143.0","219.0","44.0","111.0","1071.0","319.0"
"2013-07-28","1405.0","417.0","1551.0","2383.0","144.0","227.0","38.0","124.0","1097.0","194.0"
"2013-07-29","1478.0","493.0","2047.0","3300.0","269.0","316.0","52.0","199.0","1725.0","391.0"
"2013-07-30","1442.0","511.0","2070.0","2771.0","240.0","249.0","63.0","172.0","1719.0","352.0"
"2013-07-31","2013.0","491.0","2011.0","2686.0","342.0","245.0","50.0","180.0","1757.0","404.0"
