"date","Meningococcal_disease","Saliva","Neisseria_meningitidis","Meningitis","Meningococcal_vaccine","Common_cold","Gram-negative_bacteria","Disseminated_intravascular_coagulation","Sepsis","Rash"
"2015-05-25","373.0","558.0","559.0","2201.0","169.0","1028.0","1037.0","825.0","1923.0","378.0"
"2015-05-26","438.0","607.0","602.0","2645.0","234.0","1161.0","1308.0","903.0","2339.0","438.0"
"2015-05-27","628.0","665.0","544.0","2626.0","252.0","1096.0","1376.0","932.0","2861.0","500.0"
"2015-05-28","494.0","653.0","512.0","2648.0","237.0","1084.0","1393.0","882.0","2351.0","423.0"
"2015-05-29","410.0","497.0","419.0","2351.0","199.0","928.0","1102.0","857.0","1968.0","405.0"
"2015-05-30","391.0","451.0","325.0","1774.0","145.0","754.0","827.0","729.0","1545.0","306.0"
"2015-05-31","520.0","568.0","348.0","2078.0","154.0","716.0","931.0","779.0","1686.0","318.0"
"2015-06-01","446.0","616.0","549.0","2736.0","256.0","1023.0","1374.0","992.0","2415.0","425.0"
"2015-06-02","477.0","675.0","512.0","2948.0","273.0","1129.0","1317.0","965.0","2408.0","483.0"
"2015-06-03","507.0","605.0","493.0","2737.0","239.0","1122.0","1474.0","991.0","2288.0","516.0"
"2015-06-04","636.0","681.0","571.0","2917.0","283.0","1047.0","1427.0","988.0","2259.0","431.0"
"2015-06-05","396.0","475.0","416.0","2259.0","204.0","912.0","1078.0","932.0","2051.0","508.0"
"2015-06-06","306.0","502.0","323.0","1667.0","166.0","772.0","723.0","728.0","1544.0","328.0"
"2015-06-07","314.0","497.0","329.0","1722.0","128.0","689.0","993.0","775.0","1501.0","306.0"
"2015-06-08","434.0","621.0","460.0","2655.0","226.0","1066.0","1322.0","1124.0","2484.0","374.0"
"2015-06-09","495.0","599.0","494.0","4153.0","236.0","1127.0","1404.0","1023.0","2512.0","456.0"
"2015-06-10","479.0","572.0","453.0","4051.0","251.0","1030.0","1352.0","1043.0","2369.0","433.0"
"2015-06-11","390.0","490.0","458.0","2741.0","216.0","988.0","1381.0","981.0","2497.0","378.0"
"2015-06-12","422.0","456.0","399.0","2392.0","187.0","804.0","1069.0","806.0","2071.0","326.0"
"2015-06-13","256.0","397.0","305.0","1715.0","148.0","668.0","802.0","649.0","1612.0","318.0"
"2015-06-14","281.0","409.0","305.0","1593.0","135.0","622.0","801.0","927.0","1617.0","299.0"
"2015-06-15","464.0","515.0","435.0","2189.0","230.0","876.0","1335.0","921.0","2348.0","446.0"
"2015-06-16","525.0","549.0","561.0","2337.0","277.0","1074.0","1259.0","956.0","2502.0","382.0"
"2015-06-17","461.0","502.0","399.0","1853.0","226.0","1000.0","1286.0","881.0","1924.0","309.0"
"2015-06-18","393.0","460.0","403.0","2096.0","210.0","965.0","1200.0","873.0","1818.0","357.0"
"2015-06-19","297.0","434.0","368.0","1926.0","201.0","818.0","966.0","737.0","1812.0","316.0"
"2015-06-20","241.0","322.0","222.0","1386.0","135.0","570.0","645.0","575.0","1285.0","220.0"
"2015-06-21","243.0","390.0","253.0","1984.0","185.0","591.0","638.0","711.0","1296.0","270.0"
"2015-06-22","366.0","455.0","368.0","2222.0","356.0","971.0","1118.0","1102.0","2151.0","339.0"
"2015-06-23","375.0","455.0","402.0","2078.0","304.0","918.0","1105.0","848.0","2180.0","307.0"
"2015-06-24","394.0","450.0","354.0","1924.0","307.0","915.0","1055.0","767.0","1919.0","336.0"
"2015-06-25","387.0","516.0","362.0","2014.0","295.0","835.0","1022.0","788.0","1859.0","355.0"
"2015-06-26","352.0","385.0","315.0","1577.0","244.0","635.0","838.0","649.0","1562.0","317.0"
"2015-06-27","225.0","310.0","217.0","1182.0","90.0","509.0","544.0","481.0","1233.0","245.0"
"2015-06-28","288.0","310.0","216.0","1220.0","94.0","618.0","540.0","537.0","1218.0","264.0"
"2015-06-29","388.0","446.0","301.0","1822.0","275.0","821.0","890.0","700.0","1959.0","340.0"
"2015-06-30","266.0","448.0","314.0","1895.0","252.0","832.0","998.0","677.0","2553.0","339.0"
"2015-07-01","357.0","403.0","312.0","1732.0","222.0","769.0","940.0","712.0","1836.0","324.0"
"2015-07-02","391.0","459.0","330.0","1736.0","219.0","887.0","976.0","683.0","1959.0","406.0"
"2015-07-03","283.0","374.0","253.0","1464.0","122.0","620.0","698.0","546.0","1558.0","294.0"
"2015-07-04","214.0","323.0","180.0","1138.0","90.0","460.0","562.0","467.0","1473.0","255.0"
"2015-07-05","205.0","352.0","169.0","1184.0","79.0","596.0","607.0","493.0","1884.0","294.0"
"2015-07-06","401.0","464.0","313.0","1665.0","155.0","871.0","921.0","616.0","2222.0","373.0"
"2015-07-07","293.0","548.0","325.0","1806.0","164.0","796.0","1010.0","741.0","2066.0","386.0"
"2015-07-08","457.0","579.0","330.0","1991.0","251.0","821.0","1458.0","683.0","2600.0","339.0"
"2015-07-09","579.0","438.0","308.0","1750.0","427.0","889.0","1061.0","719.0","1913.0","328.0"
"2015-07-10","280.0","437.0","258.0","1586.0","151.0","682.0","850.0","542.0","1910.0","299.0"
"2015-07-11","201.0","337.0","180.0","1181.0","71.0","512.0","518.0","526.0","1239.0","252.0"
"2015-07-12","220.0","431.0","221.0","1264.0","95.0","620.0","603.0","515.0","1406.0","273.0"
"2015-07-13","318.0","422.0","320.0","1870.0","223.0","811.0","1033.0","661.0","2022.0","399.0"
"2015-07-14","354.0","417.0","321.0","1781.0","188.0","927.0","1002.0","711.0","2023.0","442.0"
"2015-07-15","421.0","524.0","333.0","2229.0","194.0","856.0","1030.0","708.0","2137.0","409.0"
"2015-07-16","333.0","436.0","270.0","1847.0","179.0","748.0","906.0","667.0","2042.0","364.0"
"2015-07-17","293.0","369.0","249.0","1499.0","176.0","620.0","761.0","604.0","1738.0","318.0"
"2015-07-18","218.0","322.0","191.0","1226.0","116.0","518.0","579.0","482.0","1366.0","233.0"
"2015-07-19","207.0","364.0","226.0","1500.0","115.0","625.0","615.0","512.0","1395.0","282.0"
"2015-07-20","299.0","426.0","315.0","1958.0","217.0","810.0","1019.0","699.0","2449.0","362.0"
