"date","Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"2014-11-14","2824.0","190.0","151.0","1666.0","47.0","130.0","873.0","701.0","49.0","1165.0"
"2014-11-15","2163.0","155.0","152.0","1661.0","26.0","80.0","894.0","436.0","38.0","1041.0"
"2014-11-16","2464.0","135.0","177.0","1594.0","44.0","87.0","711.0","540.0","51.0","1121.0"
"2014-11-17","3490.0","254.0","179.0","2073.0","87.0","279.0","986.0","824.0","61.0","1554.0"
"2014-11-18","3793.0","238.0","164.0","2220.0","56.0","518.0","905.0","773.0","65.0","1400.0"
"2014-11-19","3908.0","224.0","148.0","2095.0","61.0","246.0","951.0","953.0","56.0","1341.0"
"2014-11-20","3659.0","226.0","155.0","1954.0","48.0","307.0","885.0","893.0","57.0","1262.0"
"2014-11-21","3137.0","194.0","147.0","1703.0","68.0","182.0","762.0","628.0","48.0","1116.0"
"2014-11-22","2254.0","128.0","119.0","1374.0","46.0","116.0","648.0","434.0","35.0","755.0"
"2014-11-23","5184.0","196.0","154.0","1610.0","52.0","183.0","679.0","574.0","54.0","891.0"
"2014-11-24","4224.0","232.0","213.0","1937.0","56.0","143.0","986.0","778.0","81.0","1360.0"
"2014-11-25","3308.0","205.0","184.0","1947.0","53.0","132.0","973.0","678.0","55.0","1229.0"
"2014-11-26","3076.0","187.0","136.0","1891.0","69.0","100.0","894.0","705.0","62.0","1177.0"
"2014-11-27","2560.0","160.0","128.0","1521.0","52.0","83.0","859.0","547.0","70.0","1142.0"
"2014-11-28","2699.0","143.0","127.0","1376.0","28.0","101.0","832.0","552.0","52.0","944.0"
"2014-11-29","2113.0","109.0","93.0","1281.0","38.0","66.0","873.0","416.0","39.0","777.0"
"2014-11-30","2275.0","150.0","131.0","1246.0","42.0","97.0","600.0","437.0","40.0","765.0"
"2014-12-01","5022.0","249.0","195.0","2020.0","71.0","178.0","1103.0","646.0","67.0","1389.0"
"2014-12-02","3512.0","206.0","194.0","2086.0","61.0","99.0","1155.0","803.0","66.0","1369.0"
"2014-12-03","3673.0","254.0","219.0","2029.0","59.0","127.0","1144.0","949.0","72.0","1481.0"
"2014-12-04","3606.0","220.0","195.0","1985.0","47.0","119.0","1189.0","934.0","67.0","1410.0"
"2014-12-05","2923.0","223.0","161.0","1786.0","54.0","81.0","919.0","720.0","30.0","1159.0"
"2014-12-06","2305.0","128.0","154.0","1484.0","30.0","71.0","803.0","475.0","69.0","926.0"
"2014-12-07","2426.0","172.0","166.0","1544.0","36.0","76.0","670.0","499.0","54.0","845.0"
"2014-12-08","3719.0","225.0","202.0","2063.0","62.0","122.0","1217.0","862.0","80.0","1385.0"
"2014-12-09","3830.0","203.0","184.0","1972.0","59.0","91.0","1036.0","655.0","59.0","1359.0"
"2014-12-10","3406.0","198.0","171.0","1948.0","73.0","101.0","1094.0","792.0","98.0","1386.0"
"2014-12-11","3285.0","192.0","183.0","1908.0","65.0","154.0","1016.0","824.0","56.0","1258.0"
"2014-12-12","2822.0","159.0","119.0","1554.0","32.0","87.0","710.0","631.0","64.0","1006.0"
"2014-12-13","1877.0","108.0","119.0","1281.0","48.0","83.0","708.0","419.0","48.0","732.0"
"2014-12-14","2488.0","115.0","149.0","1417.0","40.0","84.0","645.0","489.0","51.0","915.0"
"2014-12-15","3015.0","193.0","151.0","1949.0","54.0","100.0","848.0","663.0","59.0","1262.0"
"2014-12-16","2913.0","208.0","205.0","2093.0","52.0","91.0","981.0","713.0","72.0","1234.0"
"2014-12-17","2835.0","182.0","161.0","1728.0","42.0","83.0","776.0","718.0","52.0","1030.0"
"2014-12-18","2739.0","170.0","178.0","1759.0","43.0","116.0","1009.0","631.0","45.0","878.0"
"2014-12-19","2346.0","127.0","115.0","1462.0","36.0","89.0","648.0","583.0","42.0","725.0"
"2014-12-20","1734.0","90.0","71.0","1221.0","39.0","84.0","510.0","403.0","39.0","554.0"
"2014-12-21","1944.0","91.0","81.0","1189.0","32.0","87.0","542.0","373.0","26.0","515.0"
"2014-12-22","2415.0","135.0","104.0","1639.0","22.0","127.0","698.0","481.0","31.0","727.0"
"2014-12-23","2277.0","111.0","127.0","1589.0","31.0","102.0","738.0","481.0","40.0","727.0"
