"Week","influenza","haemophilus","hepatitis"
"2012-06-24 - 2012-06-30","0.0212765957446809","0.434210526315789","0.173913043478261"
"2012-07-01 - 2012-07-07","0.0","0.342105263157895","0.115942028985507"
"2012-07-08 - 2012-07-14","0.0106382978723405","0.434210526315789","0.173913043478261"
"2012-07-15 - 2012-07-21","0.0106382978723405","0.460526315789474","0.260869565217391"
"2012-07-22 - 2012-07-28","0.0106382978723405","0.539473684210526","0.36231884057971"
"2012-07-29 - 2012-08-04","0.0212765957446809","0.421052631578947","0.333333333333333"
"2012-08-05 - 2012-08-11","0.0212765957446809","0.302631578947368","0.173913043478261"
"2012-08-12 - 2012-08-18","0.0319148936170213","0.315789473684211","0.565217391304348"
"2012-08-19 - 2012-08-25","0.0425531914893618","0.342105263157895","0.318840579710145"
"2012-08-26 - 2012-09-01","0.0425531914893618","0.421052631578947","0.202898550724638"
"2012-09-02 - 2012-09-08","0.074468085106383","0.460526315789474","0.188405797101449"
"2012-09-09 - 2012-09-15","0.0957446808510638","0.460526315789474","0.202898550724638"
"2012-09-16 - 2012-09-22","0.117021276595745","0.592105263157895","0.188405797101449"
"2012-09-23 - 2012-09-29","0.138297872340426","0.618421052631579","0.217391304347826"
"2012-09-30 - 2012-10-06","0.127659574468085","0.565789473684211","0.217391304347826"
"2012-10-07 - 2012-10-13","0.127659574468085","0.776315789473684","0.173913043478261"
"2012-10-14 - 2012-10-20","0.138297872340426","0.657894736842105","0.217391304347826"
"2012-10-21 - 2012-10-27","0.138297872340426","0.407894736842105","0.188405797101449"
"2012-10-28 - 2012-11-03","0.117021276595745","0.513157894736842","0.130434782608696"
